Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status
jouet-os-a-macher-chien,,,,,,,,Couleur,Jaune,Lot,1 pièce,,,VEL-JOU-JAUN-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Jaune,Lot,Lot de 3 pièces,,,VEL-JOU-JAUN-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
filtres-fontaine-eau-chat,"Filtres de rechange pour fontaine à eau — chat et chien (lot de 10, 20 ou 30)","<p>Les filtres de rechange compatibles avec notre fontaine à eau en acier inoxydable et avec la plupart des fontaines de 2,2&nbsp;L du marché. Trois couches&nbsp;: charbon actif, résine échangeuse d'ions et mousse fine.</p>
<h3>Ce que le filtre retient</h3>
<ul>
<li>Poils, croquettes et poussières en suspension</li>
<li>Chlore et mauvais goûts qui découragent les chats de boire</li>
<li>Calcaire et ions métalliques responsables des dépôts blancs</li>
</ul>
<h3>Utilisation</h3>
<ul>
<li>À changer toutes les 2 à 4&nbsp;semaines selon le nombre d'animaux</li>
<li>Rincez le filtre à l'eau claire avant la première pose</li>
<li>Lot de 10, 20 ou 30 filtres&nbsp;: de 5 mois à plus d'un an d'autonomie</li>
</ul>
<p>Chaque lot contient également les mousses pré-filtres noires à placer sous la pompe.</p>",Velluno,Animal & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food & Water Bowls,Fontaines et filtres,"chat, chien, fontaine, filtre, consommable",TRUE,Quantité,10 filtres,,,,,VEL-FIL-10,120,shopify,100,deny,manual,6.49,,TRUE,TRUE,,,,,FALSE,Filtres de rechange pour fontaine à eau chat et chien | Velluno,"Filtres charbon actif pour fontaine à eau 2,2 L. Lot de 10, 20 ou 30. Compatibles avec la plupart des fontaines en acier inoxydable.",,g,,active
filtres-fontaine-eau-chat,,,,,,,,Quantité,20 filtres,,,,,VEL-FIL-20,230,shopify,100,deny,manual,11.99,12.98,TRUE,TRUE,,,,,,,,,g,,
filtres-fontaine-eau-chat,,,,,,,,Quantité,30 filtres,,,,,VEL-FIL-30,340,shopify,100,deny,manual,16.49,19.47,TRUE,TRUE,,,,,,,,,g,,
fontaine-eau-7l-acier-inoxydable,"Fontaine à eau 7 L en acier inoxydable — capteur de présence, recharge sans fil","<p>Une fontaine à eau de 7&nbsp;litres en acier inoxydable, avec capteur de présence et recharge sans fil. L'eau circule et se filtre en continu&nbsp;: elle reste fraîche, oxygénée et donne envie de boire — ce qui compte particulièrement pour les chats sujets aux problèmes urinaires.</p>
<h3>Pourquoi 7 litres change tout</h3>
<ul>
<li>Jusqu'à une semaine d'autonomie pour un ou deux animaux</li>
<li>Idéale en cas d'absence, de télétravail ou de foyer multi-animaux</li>
<li>Grand bassin&nbsp;: plusieurs animaux peuvent boire en même temps</li>
</ul>
<h3>Caractéristiques</h3>
<ul>
<li>Capacité&nbsp;: 7&nbsp;L — Matériau&nbsp;: acier inoxydable 304, sans BPA</li>
<li>Pompe silencieuse&nbsp;: moins de 30&nbsp;dB, inaudible la nuit</li>
<li>Capteur de présence&nbsp;: le débit se déclenche quand l'animal s'approche</li>
<li>Recharge sans fil&nbsp;: aucun câble dans le bassin</li>
<li>Fenêtre de niveau d'eau et arrêt automatique à sec</li>
<li>Se démonte entièrement pour le nettoyage</li>
</ul>
<h3>Entretien</h3>
<p>Rincez le bassin une fois par semaine et changez le filtre toutes les 2 à 4&nbsp;semaines. Les filtres compatibles sont disponibles dans la boutique.</p>",Velluno,Animal & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food & Water Bowls,Fontaines et filtres,"chat, chien, fontaine, acier inoxydable, best-seller, coup de coeur",TRUE,Pack,Fontaine seule,,,,,VEL-FON-S0,1850,shopify,25,deny,manual,53.99,55.06,TRUE,TRUE,,,,,FALSE,Fontaine à eau 7 L en acier inoxydable pour chat et chien | Velluno,"Fontaine à eau 7 L en acier inoxydable, pompe silencieuse, capteur de présence et recharge sans fil. Jusqu'à une semaine d'autonomie.",,g,,active
fontaine-eau-7l-acier-inoxydable,,,,,,,,Pack,Fontaine + 3 filtres,,,,,VEL-FON-S3,2000,shopify,25,deny,manual,57.99,61.05,TRUE,TRUE,,,,,,,,,g,,
fontaine-eau-7l-acier-inoxydable,,,,,,,,Pack,Fontaine + 6 filtres,,,,,VEL-FON-S6,2150,shopify,25,deny,manual,61.99,67.04,TRUE,TRUE,,,,,,,,,g,,
fontaine-eau-7l-acier-inoxydable,,,,,,,,Pack,Fontaine + 12 filtres,,,,,VEL-FON-S12,2400,shopify,25,deny,manual,68.99,79.02,TRUE,TRUE,,,,,,,,,g,,
tapis-silicone-gamelle-antiderapant,Tapis de gamelle en silicone antidérapant et imperméable — chien et chat,"<p>Un tapis de gamelle en silicone souple avec rebords relevés&nbsp;: l'eau renversée et les croquettes projetées restent dessus, pas sur votre parquet. Antidérapant, il empêche aussi les gamelles de glisser pendant le repas.</p>
<h3>Points forts</h3>
<ul>
<li>Rebords relevés sur tout le périmètre&nbsp;: retient les liquides</li>
<li>Silicone alimentaire souple, sans BPA, sans odeur</li>
<li>Face inférieure antidérapante&nbsp;: le tapis et les gamelles ne bougent plus</li>
<li>Se nettoie d'un coup d'éponge, ou au lave-vaisselle (panier supérieur)</li>
<li>S'enroule pour le rangement et le transport</li>
</ul>
<h3>Caractéristiques</h3>
<ul>
<li>Dimensions&nbsp;: environ 47 × 30&nbsp;cm</li>
<li>Matière&nbsp;: silicone de qualité alimentaire</li>
<li>Convient aux chiens et aux chats, intérieur comme extérieur</li>
<li>Résiste de -40&nbsp;°C à +230&nbsp;°C</li>
</ul>",Velluno,Animal & Pet Supplies > Pet Supplies > Pet Bowl Mats,Repas et gamelles,"chien, chat, gamelle, silicone, antidérapant, best-seller",TRUE,Couleur,Vert clair,,,,,VEL-TAP-VERC,320,shopify,80,deny,manual,5.69,5.70,TRUE,TRUE,,,,,FALSE,Tapis de gamelle en silicone antidérapant pour chien et chat | Velluno,"Tapis de gamelle en silicone à rebords relevés, antidérapant et imperméable. 47 × 30 cm, lavable au lave-vaisselle.",,g,,active
tapis-silicone-gamelle-antiderapant,,,,,,,,Couleur,Gris foncé,,,,,VEL-TAP-GRIF,320,shopify,80,deny,manual,5.69,5.70,TRUE,TRUE,,,,,,,,,g,,
tapis-silicone-gamelle-antiderapant,,,,,,,,Couleur,Rose,,,,,VEL-TAP-ROSE,320,shopify,80,deny,manual,5.69,5.70,TRUE,TRUE,,,,,,,,,g,,
tapis-silicone-gamelle-antiderapant,,,,,,,,Couleur,Noir,,,,,VEL-TAP-NOIR,320,shopify,80,deny,manual,5.69,5.70,TRUE,TRUE,,,,,,,,,g,,
tapis-silicone-gamelle-antiderapant,,,,,,,,Couleur,Bleu,,,,,VEL-TAP-BLEU,320,shopify,80,deny,manual,5.69,5.70,TRUE,TRUE,,,,,,,,,g,,
